,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.05936694145
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.6510913372039795
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27742648125
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.7601902485
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.057467699050903
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.61032414436
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.76679253578
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.286819696426392
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.97799801826
11,2019-05-31,BUY,NVDA,38294,3.4572553634643555,66084.84110951424
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,7.0713417530059814
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.191153764725
14,2019-06-28,BUY,NVDA,12892,4.056702136993408,1.1872036457061768
15,2019-07-31,SELL,NVDA,931,4.360401630401611,4060.7211215496063
16,2019-07-31,BUY,TSLA,251,16.150667190551758,6.903656721115112
17,2019-08-16,SELL,TSLA,1997,14.37600040435791,28715.77646422386
18,2019-08-30,BUY,NVDA,355,4.154505252838135,27240.927099466324
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,14.937923669815063
20,2019-09-30,SELL,NVDA,2049,4.272921562194824,8770.15420460701
21,2019-09-30,BUY,TSLA,543,16.142000198364258,5.0480968952178955
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19514.668271303177
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15725.81811261177
24,2019-10-31,BUY,NVDA,3061,5.050086498260498,267.5033414363861
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32402.63398528099
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28611.474073171616
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,184.8525369167328
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1154.782529592514
29,2019-12-31,SELL,NVDA,11759,5.783752918243408,69165.93309521675
30,2019-12-31,SELL,TSLA,1,27.64666748046875,69193.57976269722
31,2019-12-31,BUY,CSCO,1699,40.723358154296875,4.594258546829224
